#,Mainly operations,Mainly development,InfoSec,Site Reliability Engineer/DevOps,Release management,Testing/Quality Assurance,Architect,Other,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",HashiCorp Nomad,Docker EE,OpenShift on AWS,Other,Amazon ECR,Docker Hub,JFrog Artifactory,CNCF Harbor,Quay.io or on-premises,Other,Native ECR scanning,DIY Clair,DIY Trivy,Aqua Security,StackRox,Sysdig Secure,Prisma Cloud (Twistlock),"Nope, not scanning images (yet)",Other,CNCF Falco,Aqua Security,Prisma Cloud (Twistlock),Twistlock Defender,NeuVector,"Nope, not scanning containers (yet)",Other,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,CyberArk,DIY encryption,"Nope, not encrypting sensitive data (yet)",Other,CNCF Notary,CNCF TUF-based,"Nope, not signing my images (yet)",Other,CNCF in-toto,Grafeas,"Nope, not managing my supply chain (yet)",Other,CNCF Open Policy Agent,Aqua Security,Prisma Cloud (Twistlock),Octarine,Portshift,DIY policy management,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),Are you using Kubernetes?,GitOps,Weave Net,Calico,Cilium,DIY eBPF,"Nope, not using Network Policies (yet)",Via a service mesh,Other,Kubernetes: pod security policies,Other,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",Other,Kubernetes: least-privileges AWS services access,Other,Any other security-related feature of AWS you're using? Any container security tool?,Start Date (UTC),Submit Date (UTC),Network ID
c2dfv3l62w8b9h5bsljec2dmm906jant,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,nope,2020-10-05 23:53:08,2020-10-05 23:55:41,e06edccdf3
lr0ey42h8ecjr5fgu2qlr0ey4vcn5oel,,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,Docker Hub,JFrog Artifactory,,,,Native ECR scanning,,,,,,,,,,,,Twistlock Defender,,,,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,,Own,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,,Via a service mesh,,No,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,kube2iam,,no,2020-09-28 18:59:41,2020-09-28 19:18:55,035a447268
ht844mv82p2lq2xlb54ht844mvayqbbg,,,InfoSec,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,,,JFrog Artifactory,,,,,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,0,,,Cilium,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,"Bottlerocket, IDS",2020-09-28 03:25:32,2020-09-28 03:28:31,aed85be64f
r4lkre7r7mzd24jw701zgr4lkel9zun7,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,,,,,Nexus Sonatype,,,,,,,,,Twistlock,,,,Twistlock Defender,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,N/A,2020-09-26 03:37:14,2020-09-26 03:59:58,776ac5b96b
3e67o1t5pz73edu49fytjz2eybaetq8k,Mainly operations,,,,,,,,,,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,kube2iam,,,2020-09-25 22:28:33,2020-09-25 22:33:09,6685468f19
773836soxtnqz77383fw3zispajp17eu,,Mainly development,,,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,"Within a cluster, between containers (East-West)",,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,N/A,2020-09-22 13:05:40,2020-09-22 13:07:46,05c61d9cee
tgjg2rk274s86foctgjg201jcbmnrxmn,,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,,EKS on EC2,,,,,,,,,,,,nexus,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,,,," creds",guardduty,2020-09-22 05:43:20,2020-09-22 05:54:54,5763d7200c
jxws8qdcbfofplwjgz6ahjxws8qdap6l,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,CNCF Harbor,,,Native ECR scanning,,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,,"Within a cluster, between containers (East-West)",,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,.,2020-09-22 02:08:58,2020-09-22 02:26:15,dad6ece506
ogmhc1ri1so1irmeogmh7l1gm2x0gor4,,,,,,,Architect,,,,EKS on EC2,,,,,,,Amazon ECR,,JFrog Artifactory,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,kiam,,,2020-09-21 23:32:11,2020-09-21 23:36:03,4dd8586b92
j8162rt6hhe2ss3j8162d8sg1czjr98c,,,,,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,Docker EE,,,,,JFrog Artifactory,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,CyberArk,DIY encryption,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,Cluster-external to containers (North-South),1,1,,Calico,,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,No,2020-09-21 22:43:18,2020-09-21 22:45:37,0873aa34c0
tdbxkrl8ykukfj4xtdbxq17bwa6fcn6k,,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,JFrog Artifactory,,,,,,,Aqua Security,,,,,,,Aqua Security,,,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,Aqua Security,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,Active Directory/LDAP,,,kube2iam,,,2020-09-21 18:49:11,2020-09-21 18:52:21,352e325bd1
i0fkm1s5li4slbhichswi0fkm15oo86z,,,,,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,CNCF TUF-based,,,,,,Other internal policies and procedures,,,,,,DIY policy management,,,Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,Firecracker and Bottlerocket,2020-09-21 18:29:10,2020-09-21 18:32:48,211978ec33
wav4wd4uu0actnf6awav4wn67st8pqsa,,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,snyk,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,ansible vault,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,,2020-09-21 18:07:46,2020-09-21 18:09:49,3c39b14ca2
ght4dde2yk5jf2ef7fu17hght4ddea8n,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,,,,,Via a service mesh,,No,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,network acl,2020-09-21 16:40:52,2020-09-21 16:44:25,2e9ef7f239
p5yyt7sg9942jnp5yyau46w0wxcn34w3,,,,,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,JFrog Artifactory,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,0,,Calico,,,,Via a service mesh,,"Yes, PSP",,,,,Vault (combination of PKI and LDAP backends),kiam,,,2020-09-21 15:03:35,2020-09-21 15:10:25,b054b0ffc9
8j2e3mwb8hfppaomz8v98j2e3mudlxfj,,,,,,,Architect,,,,,EKS on Fargate,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,,,,,,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,0,,,,,,Via a service mesh,,"Yes, PSP",,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,None,2020-09-21 12:19:39,2020-09-21 12:48:11,5c76d3c270
x7rdreyr5a93lwyghx7rdreuzov1k4vk,,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,ECS on Fargate,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,Docker Hub,,,,,Native ECR scanning,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,,Via a service mesh,,"Yes, PSP",,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,kube-bench,2020-09-20 09:11:54,2020-09-20 09:15:09,91c49e43a5
19uwszmxfhklq28t819uwszmy9z0ahq8,,,InfoSec,Site Reliability Engineer/DevOps,,,Architect,,ECS on EC2,,,,,,Docker EE,,,Amazon ECR,,,,,Azure ACR,,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,HashiCorp Vault,,DIY encryption,,ENV manager - paid service ,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,Calico,,,,Via a service mesh,,"Yes, PSP",,IAM users/roles,Active Directory/LDAP,,,kube2iam,,Nope,2020-09-20 06:50:22,2020-09-20 06:54:00,27d74ac1ff
n6qi7sdorjfwqpbpivon6qi7ogb0xw48,,,InfoSec,,,,Architect,,,,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",,,,,,,,CNCF Harbor,,,Native ECR scanning,,DIY Trivy,,StackRox,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,HashiCorp Vault,,,,,,CNCF TUF-based,,,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,Amazon EC2 security group or network ACLs,,,1,1,,,,,,Via a service mesh,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Testing bottlerocket,2020-09-19 23:15:57,2020-09-19 23:19:24,bb8b9583e5
bsnhh1ntcce1kohw8blq1chbsnhh1n2l,Mainly operations,,,,,,,,,,EKS on EC2,,,,,,,,Docker Hub,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,We want to apply security on pods with the AWS CNI,2020-09-19 06:33:27,2020-09-19 06:36:42,529d18fc96
kcxvzxs9mjg3c2ikcxuzc5d9xnblxlt9,,,,,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",,Docker EE,,,Amazon ECR,Docker Hub,JFrog Artifactory,,,,Native ECR scanning,DIY Clair,,,,Sysdig Secure,,,,CNCF Falco,Aqua Security,,,NeuVector,,,AWS Secrets Manager,,HashiCorp Vault,CyberArk,,,,CNCF Notary,CNCF TUF-based,,,,Grafeas,,,CNCF Open Policy Agent,Aqua Security,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,Calico,Cilium,,,,,"Yes, PSP",,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,kube2iam,,,2020-09-18 18:58:49,2020-09-18 19:14:51,0a33cfb74c
oy6zighmatn6rzxdzcoy6zis38miyix4,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,HashiCorp Nomad,,,,,,JFrog Artifactory,,Quay.io or on-premises,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,firecracker,2020-09-18 13:39:11,2020-09-18 13:47:12,50681347d2
9wgt1oj6efc44t43ama9wgt1o00s4odm,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,,2020-09-18 01:43:50,2020-09-18 01:46:33,64df52c812
57aj61u50nnk4ksslmyb57aj618dbq08,Mainly operations,,,Site Reliability Engineer/DevOps,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,Docker Hub,,,Quay.io or on-premises,,Native ECR scanning,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",,1,1,,Calico,,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,n/a,2020-09-17 21:02:56,2020-09-17 21:09:33,d203faff9a
oymm3tlv12bgfngbqtzpoymm373oa846,,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,,CNCF Harbor,,,,,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,Cluster-external to containers (North-South),1,1,Weave Net,,,,,,,No,,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,,limited access keys + policies,AWS WAF.,2020-09-17 19:42:41,2020-09-17 19:56:17,96ccdca6b0
mg16h64kupw8ijf8lle8mg16h6lk6k1i,,,InfoSec,,,,,,,ECS on Fargate,,,,,,,,,Docker Hub,,,,,,,,,,,Prisma Cloud (Twistlock),,,,,Prisma Cloud (Twistlock),Twistlock Defender,,,,,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,Prisma Cloud (Twistlock),,,,,,Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,Active Directory/LDAP,,,I'm assigning the IAM role to the nodes,,,2020-09-17 19:13:09,2020-09-17 19:15:01,0782eeb1da
5k6dv3jmpbjbd6jewz5k6dv3hj3zwif0,,,,,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,Docker EE,,,,Docker Hub,,CNCF Harbor,,,,DIY Clair,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,Aqua Security,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,Weave Net,,,,,,,"Yes, PSP",,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,I'm assigning the IAM role to the nodes,,Flatcar to reduce the attack surface,2020-09-17 13:49:36,2020-09-17 13:57:27,96ccdca6b0
