#,Mainly operations,Mainly development,InfoSec,Site Reliability Engineer/DevOps,Release management,Testing/Quality Assurance,Architect,Other,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",HashiCorp Nomad,Docker EE,OpenShift on AWS,Other,Amazon ECR,Docker Hub,JFrog Artifactory,CNCF Harbor,Quay.io or on-premises,Other,Native ECR scanning,DIY Clair,DIY Trivy,Aqua Security,StackRox,Sysdig Secure,Prisma Cloud (Twistlock),"Nope, not scanning images (yet)",Other,CNCF Falco,Aqua Security,Prisma Cloud (Twistlock),Twistlock Defender,NeuVector,"Nope, not scanning containers (yet)",Other,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,CyberArk,DIY encryption,"Nope, not encrypting sensitive data (yet)",Other,CNCF Notary,CNCF TUF-based,"Nope, not signing my images (yet)",Other,CNCF in-toto,Grafeas,"Nope, not managing my supply chain (yet)",Other,CNCF Open Policy Agent,Aqua Security,Prisma Cloud (Twistlock),Octarine,Portshift,DIY policy management,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),Are you using Kubernetes?,GitOps,Weave Net,Calico,Cilium,DIY eBPF,"Nope, not using Network Policies (yet)",Via a service mesh,Other,Kubernetes: pod security policies,Other,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",Other,Kubernetes: least-privileges AWS services access,Other,Any other security-related feature of AWS you're using? Any container security tool?,Start Date (UTC),Submit Date (UTC),Network ID
cgpic0eu44akwonp85nfcgpic9ortn54,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,,,,,Via a service mesh,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,kiam,,checkov,2020-09-17 12:00:55,2020-09-17 12:53:47,7d813e4cf5
qjycsoqbizibpcqjycc6azupvz9p7igj,Mainly operations,,,,,,,,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,Docker Hub,JFrog Artifactory,,,,,,,Aqua Security,,,,,,,Aqua Security,,Twistlock Defender,,,,,,HashiCorp Vault,,,,,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-09-17 12:50:42,2020-09-17 12:53:16,5a5490c92e
t6x1fd4scvjomdtct6x1fd9sqq4zqhhl,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,Docker Hub,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,0,,,,,,Via a service mesh,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Nope,2020-09-17 12:06:44,2020-09-17 12:10:41,b162b324f7
9u9w6tl3nuf45uko77bfhc9u9w6tg2hk,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,HashiCorp Vault,CyberArk,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,Calico,,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,,,"SSO (OpenID Connect/dex, etc.)",,kube2iam,,,2020-09-17 06:41:35,2020-09-17 06:44:56,136e8112ec
ea9032d3jvds42usea903hh9w21hamez,,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,Docker Hub,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,,,"Within a cluster, between containers (East-West)",,1,0,,,,DIY eBPF,,,,No,,,Active Directory/LDAP,,,I'm assigning the IAM role to the nodes,,,2020-09-17 06:05:23,2020-09-17 06:08:24,eefb2ee5a2
yjsxpfdqxw8yjogmhhbg8dy49tnpiogm,Mainly operations,,,,,,,,,,,,,,,,Rancher,,,JFrog Artifactory,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,,Via a service mesh,,No,,IAM users/roles,Active Directory/LDAP,,,IAM roles for service accounts (IRSA),,,2020-09-17 02:53:39,2020-09-17 02:57:56,7d2555d7de
buehf3kalgxq5zwoebuehbfksrb1fvko,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,,,JFrog Artifactory,,,,,,,Aqua Security,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,no,2020-09-17 01:36:51,2020-09-17 01:42:47,8a4422ac7b
xqd87tfs2y35l3sjqskxqd871b7kq8n5,,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,ECS on Fargate,EKS on EC2,,,,,,,Amazon ECR,Docker Hub,,,,,Native ECR scanning,,,,,,,,,,,,,,,,AWS Secrets Manager,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-09-17 00:55:09,2020-09-17 00:57:26,258e2a5885
32ka239ejyqkbquzc32kaum8mmeb5zbk,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,CNCF Harbor,,,Native ECR scanning,,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,,,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,"Within a cluster, between containers (East-West)",,1,1,,Calico,,,,Via a service mesh,,"Yes, PSP",,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-09-17 00:01:05,2020-09-17 00:03:00,6d41b8ed1e
btnmpl5p8g4rbejo1btnmpl5pthrmjue,Mainly operations,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,JFrog Artifactory,,,,,,,,,,,,Qualys,,,,,,,Qualys,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,Calico,,,,,,"Yes, PSP",,,,"SSO (OpenID Connect/dex, etc.)",,kiam,,No,2020-09-16 23:34:09,2020-09-16 23:38:00,13806533c6
4qsjoaa2dn1lk5zzw4qsjoa5118ufih5,,,,,,,Architect,,ECS on EC2,,,,"DIY Kubernetes (kops, etc.)",,,,,,Docker Hub,,,Quay.io or on-premises,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,Sysdig Secure,,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,I'm assigning the IAM role to the nodes,,,2020-09-16 20:43:26,2020-09-16 20:47:28,d8b9c5fe82
hw50kt9le86vq6xhw50kzhbxrk8xu8av,,,InfoSec,,,,,,,,EKS on EC2,,,,,,,,,,,Quay.io or on-premises,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,,,HashiCorp Vault,,,,,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,,Via a service mesh,,"Yes, PSP",,IAM users/roles,,,,kiam,,,2020-09-16 19:58:54,2020-09-16 20:08:28,9777b84478
qwxe3vhpiq7gxua4qwxsy23llqhoby5k,,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,,,,Pierone (self build cr immutable tags),,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,,,Kms ,,,"Nope, not signing my images (yet)",,,,,Self build,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,0,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-09-16 18:35:46,2020-09-16 18:41:28,257c204f9d
thckiohleimxfe9p99thckiohyqzzpzy,,,InfoSec,,,,,,,,EKS on EC2,,,,,,,,,,CNCF Harbor,,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,,,,,,"Nope, not encrypting sensitive data (yet)",,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,,,"Within a cluster, between containers (East-West)",,1,0,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,,2020-09-16 18:14:26,2020-09-16 18:16:41,3b122c20a6
0d1j1fntplkv1jkypgwqr0d1jnqgrv8q,,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,Docker Hub,JFrog Artifactory,,,,Native ECR scanning,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,DIY policy management,,,Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Looking at Bottlerocket,2020-09-16 17:06:59,2020-09-16 17:11:35,d063b3f821
m5fr97c2jsyucjwitbsm5fe4c0bvs9el,,,,Site Reliability Engineer/DevOps,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,Docker Hub,,CNCF Harbor,Quay.io or on-premises,,,DIY Clair,DIY Trivy,,,Sysdig Secure,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,Calico,Cilium,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-09-16 15:42:20,2020-09-16 15:48:57,d6cd61e032
m31sgdk9qtrhh10m31sgl0nneghz9y7c,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,We are looking into Bottlerocket but probably waiting for it to stabilize a bit more.,2020-09-16 15:35:21,2020-09-16 15:41:53,83e7fe7f2c
rkdeqw6e34finu3lexrkdeqw95j578e7,,,,,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,Amazon EC2 security group or network ACLs,,,1,1,,,,,,Via a service mesh,,I will skip PSPs and will adopt Gatekeeper or similar,,,,,,IAM roles for service accounts (IRSA),,,2020-09-16 15:22:02,2020-09-16 15:25:31,160bdc40fd
dt53yydk45e8tuwidt53yidsrnlqd0v4,,,,,,,Architect,,,,,,,,,OpenShift on AWS,,,,,,Quay.io or on-premises,,,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,,,"Within a cluster, between containers (East-West)",,1,1,,,,,,,OpenShift SDN,,OpenShift pod security implementation,,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,I'm assigning the IAM role to the nodes,,,2020-09-16 15:04:25,2020-09-16 15:06:53,273181a1cf
l8514jy2sritapl85ocazdh8f5yg72c8,Mainly operations,,InfoSec,,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,Quay.io or on-premises,,Native ECR scanning,,DIY Trivy,,,,,,,,,,,,,,,,HashiCorp Vault,,,,,,,,,,,,,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,,Cilium,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,,,"SSO (OpenID Connect/dex, etc.)",,,,,2020-09-16 14:18:17,2020-09-16 14:57:46,f3f78a1c54
h74ha7bnanbn5o5f9yh74ha7bkohk01c,,Mainly development,,,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,,,Quay.io or on-premises,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Falco for runtime detection,2020-09-16 14:39:41,2020-09-16 14:42:31,c93e45dddb
oqp9jwy1mifphnoqp9j36ehc06e1z0xg,,,,,,,Architect,,,,,,,,,,Rancher,,,,,Quay.io or on-premises,,,,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,,,,,Mozilla sops,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,'-,2020-09-16 14:28:38,2020-09-16 14:34:18,772fab56e5
hri4gi6nb66jjf0pvx4xiwhri4giksmt,Mainly operations,,,Site Reliability Engineer/DevOps,Release management,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,Docker Hub,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,,Cilium,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-09-16 14:29:32,2020-09-16 14:31:41,b31102d665
pugf0v4tqmktk1vjpuavg93rzdper66o,Mainly operations,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,OpenShift on AWS,,,Docker Hub,,,Quay.io or on-premises,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-09-16 14:28:37,2020-09-16 14:30:56,635409892e
h7vfdxy91ou3tkmctsh7ermxs3b08cwl,,,,,,,Architect,,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,Docker Hub,,,,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",,1,0,,Calico,,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-09-16 14:23:28,2020-09-16 14:26:08,cfdd4a8712
kwnvnflg9qxkwt02kwnvnifkvmik8k38,,,,,,,,,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,JFrog Artifactory,,,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,,,,,,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,0,,,,,,,,"Yes, PSP",,IAM users/roles,Active Directory/LDAP,,,,,,2020-09-16 14:23:22,2020-09-16 14:25:49,b2cc6c86b2
3t9dwb2o05c0po3t9dwb21uk4bis78a5,,,,,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,OpenShift on AWS,,Amazon ECR,Docker Hub,,,Quay.io or on-premises,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,Weave Net,,,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,Bottlerocket,2020-09-16 14:22:11,2020-09-16 14:23:41,e11c41a7b7
6wb7l3nnvk1wlywk62fs6wb74goemamm,,,,Site Reliability Engineer/DevOps,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,JFrog Artifactory,,,,,,,,,,,,qualys,,,,,,,Qualys,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,,Cilium,,,,,"Yes, PSP",,,,"SSO (OpenID Connect/dex, etc.)",,kiam,,,2020-09-16 12:58:20,2020-09-16 14:18:31,a3afbf1dca
xylz731zlqkbtqnx09uxylz731wgchbo,Mainly operations,Mainly development,InfoSec,,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",,0,,,,,,,,,,,,,,,,,,2020-09-16 14:03:48,2020-09-16 14:06:30,4a34ba133b
7zfocf45yd7z5ttn17zfoc5t6ifzikck,,,InfoSec,Site Reliability Engineer/DevOps,,,Architect,,,,,,,,,,EC2 instances running docker/docker swarm,,Docker Hub,,,,Gitlab,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,Nothing (Yet),2020-09-16 13:50:38,2020-09-16 13:53:10,4b103aee9b
na3p5hnfmu16bdml8na3p5hfvhyk9ekc,,,InfoSec,,,,,,,,EKS on EC2,,,,,,,Amazon ECR,Docker Hub,,,Quay.io or on-premises,,Native ECR scanning,,,,,,,,,CNCF Falco,,,,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,Calico,Cilium,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,https://github.com/darkbitio/aws-recon for posture assessment,2020-09-16 13:41:40,2020-09-16 13:47:06,9c79b47803
