#,Mainly operations,Mainly development,InfoSec,Site Reliability Engineer/DevOps,Release management,Testing/Quality Assurance,Architect,Other,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",HashiCorp Nomad,Docker EE,OpenShift on AWS,Other,Amazon ECR,Docker Hub,JFrog Artifactory,CNCF Harbor,Quay.io or on-premises,Other,Native ECR scanning,DIY Clair,DIY Trivy,Aqua Security,StackRox,Sysdig Secure,Prisma Cloud (Twistlock),"Nope, not scanning images (yet)",Other,CNCF Falco,Aqua Security,Prisma Cloud (Twistlock),Twistlock Defender,NeuVector,"Nope, not scanning containers (yet)",Other,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,CyberArk,DIY encryption,"Nope, not encrypting sensitive data (yet)",Other,CNCF Notary,CNCF TUF-based,"Nope, not signing my images (yet)",Other,CNCF in-toto,Grafeas,"Nope, not managing my supply chain (yet)",Other,CNCF Open Policy Agent,Aqua Security,Prisma Cloud (Twistlock),Octarine,Portshift,DIY policy management,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),Are you using Kubernetes?,GitOps,Weave Net,Calico,Cilium,DIY eBPF,"Nope, not using Network Policies (yet)",Via a service mesh,Other,Kubernetes: pod security policies,Other,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",Other,Kubernetes: least-privileges AWS services access,Other,Any other security-related feature of AWS you're using? Any container security tool?,Start Date (UTC),Submit Date (UTC),Network ID
ccpp028vuesdgiccpp8hgw2fg95yh19v,Mainly operations,,,,,,,,,,,,,,Docker EE,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,,2020-09-16 13:41:21,2020-09-16 13:43:26,cce70d4a3a
jysg22k71a6pj530pujysgwxqpkyi7tv,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Nope,2020-09-16 13:33:31,2020-09-16 13:38:08,a73d8e9228
31vr7b3ti61wbuhre35931vr7b3ti2e2,,,,Site Reliability Engineer/DevOps,,Testing/Quality Assurance,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,0,,,,,,,,,,,,,,,,,,2020-09-16 12:59:03,2020-09-16 13:01:22,3e4dd350b1
64jvewfibs1bqlytt7q64jvewfbfwdrg,,,,,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,kiam,,,2020-09-16 12:52:42,2020-09-16 12:56:44,b61afdbcff
whifi7xb8i9pruysoqwhifi7xv16r0yz,,,InfoSec,Site Reliability Engineer/DevOps,,,,,ECS on EC2,,,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,0,,,,,,,,,,,,,,,,,,2020-09-16 12:04:49,2020-09-16 12:06:56,b5568aaf8c
gxsakc0hniuth4cyx1gxsakc6hklhwhr,,,,,,,Architect,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,no,2020-09-16 11:56:44,2020-09-16 11:59:01,8c6ef2158e
pjd1gtwzgscfwexu7m5ampjd1gtf0b6w,Mainly operations,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,,,,,,,,,Amazon ECR,Docker Hub,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,no,2020-09-16 11:50:45,2020-09-16 11:54:56,75b3ab1bb8
0bb21w5nzoaynt66x0bb21whc4zg9wmy,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,Native ECR scanning,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,No,2020-09-16 11:27:58,2020-09-16 11:30:19,2949eb8e15
u6tb2iygliob3yg30uilu6tb2ihh1oww,,Mainly development,,,,,,,,,EKS on EC2,,,,,,,,Docker Hub,,,,,,,,Aqua Security,,,,,,CNCF Falco,,,,,,,,,HashiCorp Vault,,,,,,,,,CNCF in-toto,,,,,,,Octarine,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,Calico,,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-09-16 11:20:20,2020-09-16 11:22:59,1e993fe714
a1ek6bjh6vxcxjred1a1ek2xaso8j0z7,,,InfoSec,,,,,,ECS on EC2,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,,,,,,,Prisma Cloud (Twistlock),,,,,Prisma Cloud (Twistlock),Twistlock Defender,,,,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,"Hadolint, for container image best-practice",2020-09-16 11:10:47,2020-09-16 11:17:18,d021f0e112
xzixafh57aij28q8txshj5ncnkat7fib,,Mainly development,,,,,,,,ECS on Fargate,,EKS on Fargate,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,0,,,,DIY eBPF,,Via a service mesh,,"Yes, PSP",,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,no,2020-09-16 11:13:13,2020-09-16 11:16:10,6f3c09221c
dw91b4dqdbzxhrqdw91bs654oonfmqgr,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,Docker Hub,,,,,Native ECR scanning,DIY Clair,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,,Cilium,,,,,"Yes, PSP",,IAM users/roles,,,,kube2iam,,Hubble to inspect traffic for Cilium rules,2020-09-16 11:12:14,2020-09-16 11:15:53,120bab3e1a
mfghxfthj1ulfolmi9t6a7mfghxftnqf,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,0,,,,,,,,,,,,,,,,,,2020-09-16 10:53:22,2020-09-16 10:55:27,d12c01ba77
op03k9fyc3gefgzuop03kc3ax9ewm9pr,Mainly operations,,,,,,,,,,,,"DIY Kubernetes (kops, etc.)",,Docker EE,,,Amazon ECR,Docker Hub,JFrog Artifactory,CNCF Harbor,,,,DIY Clair,DIY Trivy,Aqua Security,StackRox,Sysdig Secure,Prisma Cloud (Twistlock),,,CNCF Falco,Aqua Security,Prisma Cloud (Twistlock),Twistlock Defender,NeuVector,,,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,CyberArk,DIY encryption,,,CNCF Notary,CNCF TUF-based,,,CNCF in-toto,Grafeas,,,,Aqua Security,Prisma Cloud (Twistlock),Octarine,Portshift,DIY policy management,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,Weave Net,Calico,Cilium,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,f,2020-09-12 05:09:35,2020-09-12 05:22:56,0bedd01866
fpqi707ckg1uxygff8r4f0o5bwwds71g,,,InfoSec,,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,inspector,2020-09-09 11:25:45,2020-09-09 11:29:17,6bf1eaf4cc
fjy1utem6ezbxychy1dfjy19o08plw4o,,,,,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,JFrog Artifactory,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,,"Within a cluster, between containers (East-West)",,1,1,,Calico,,,,Via a service mesh,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,none,2020-09-08 12:08:58,2020-09-08 12:12:41,327703a5ca
3m9254ug2u8iz03m89d4j5vupu5xtnvx,,,,,,,Architect,,,ECS on Fargate,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,Prisma Cloud (Twistlock),,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,Prisma Cloud (Twistlock),,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",,1,0,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,kube2iam,,No,2020-09-03 04:17:50,2020-09-03 04:21:20,d1359dd742
u3u70hffbusqmuearefqu3u70qpj67vz,,,,,,,Architect,,,,EKS on EC2,,,,,,,,,,,,Nexus,,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,,,Cluster-external to containers (North-South),1,1,Weave Net,,,,,,,"Yes, PSP",,,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,None,2020-09-01 13:43:22,2020-09-01 13:46:16,fd5c4629b9
uroloiqpia797uroluw2f1p2nvcof42m,,,InfoSec,,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,"Within a cluster, between containers (East-West)",,1,1,,Calico,,,,,,"Yes, PSP",,,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,kubebench,2020-08-31 18:10:13,2020-08-31 18:14:47,b233f10de3
ku5jqyv1olpwfttku5j8p4v7mqu3zjy7,,,,,,,Architect,,ECS on EC2,,,EKS on Fargate,,,,,,Amazon ECR,Docker Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,,,,,,IAM users/roles,,,,,,,2020-08-26 18:05:27,2020-08-26 18:09:39,b6a68c1133
72vb5fsx2r60ocvftzj72vbs5sh75r9t,,,,,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,,,,,,,Amazon ECR,,JFrog Artifactory,,,,,,,Aqua Security,,,,,,,Aqua Security,,,,,,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,Aqua Security,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,,2020-08-26 10:07:55,2020-08-26 10:09:42,82cdeb3fb7
faqgpnesn316e0wpdfaqgptrmuo0yr7p,Mainly operations,,,,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,0,,,,,,,,,,,,,,,,,Not yet.,2020-08-25 19:12:41,2020-08-25 19:14:53,c354b42e45
plf55w2ixez0ivgseplf5nvs0b9dt0r1,,Mainly development,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,,,,,,,,,Amazon ECR,,JFrog Artifactory,,,,,,,,,,,,Artifactory,,,,,,,InfoSec,,AWS Parameter Store,,,,,S3 Env,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),0,,,,,,,,,,,,,,,,,'-,2020-08-25 19:01:54,2020-08-25 19:04:15,a4a629e3fe
1v8264g0wsm8497k1v82nnw3tkq21xvo,,,,,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,Docker Hub,,,,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-08-21 19:52:58,2020-08-21 20:06:19,0a33cfb74c
zrrq6bf0c12tuuhkjcl688zrrq6bqbdt,,,,Site Reliability Engineer/DevOps,Release management,,,,,,EKS on EC2,EKS on Fargate,,,Docker EE,,,,,JFrog Artifactory,,,,,,,,,,,,JFrog XRAY,,,,,,"Nope, not scanning containers (yet)",,,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,,2020-08-20 23:23:07,2020-08-20 23:26:45,1b2ead076a
295q8sxn4ebf22uw94445295q8gtd8uk,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,,,,,,OpenShift on AWS,,Amazon ECR,,JFrog Artifactory,,,,Native ECR scanning,,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,SOPS,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-08-17 20:14:04,2020-08-17 20:18:11,b00aaf6b0b
bzn9irq2auj99osrdnubzn9i4e5mfzl1,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,,,,Aqua Security,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,,Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,no,2020-08-17 16:12:05,2020-08-17 16:15:46,662dab6d28
9oet58xjeb3wc3n4cce99oet58qczphj,Mainly operations,,,Site Reliability Engineer/DevOps,,,Architect,,,ECS on Fargate,,,,,,,,Amazon ECR,,JFrog Artifactory,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,Cluster-external to containers (North-South),0,,,,,,,,,,,,,,,,,'-,2020-08-17 12:32:50,2020-08-17 12:35:42,759d4d6b86
rwriy89i5ymr0i1x92rwriy84hpq330y,Mainly operations,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,,2020-08-17 12:13:04,2020-08-17 12:15:41,3640c92f56
otmyq7s1whhhzctlotmy2od2yhdioo8i,,,,Site Reliability Engineer/DevOps,,,,,,,,EKS on Fargate,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,Calico,,,,,,No,,,Active Directory/LDAP,,,IAM roles for service accounts (IRSA),,,2020-08-17 11:38:56,2020-08-17 11:41:19,f48c754407
s885v7m8jv917s7643ws885v3vjmne5s,Mainly operations,,,,,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,AKS,,Docker Hub,,CNCF Harbor,,ACR,,,,Aqua Security,,,,,,CNCF Falco,,,,,,,,,HashiCorp Vault,,,,Azure Key Vault,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,"Within a cluster, between containers (East-West)",,1,1,,Calico,Cilium,,,Via a service mesh,,"Yes, PSP",,,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,I'm assigning the IAM role to the nodes,,'-,2020-08-17 11:32:15,2020-08-17 11:35:39,7831f8fff7
fw6nzy4h0ch213b0dfw6ndx9cc53kb50,,,InfoSec,,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,,,,self hosted registry,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,,,sops,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,kube2iam,,,2020-08-12 19:04:51,2020-08-13 06:54:24,4f00ecb61b
snf4r8wvkc19vw2rxq2c1v8snf4r8w3l,,,,Site Reliability Engineer/DevOps,,,Architect,,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,,,,CNCF Harbor,,,,DIY Clair,DIY Trivy,,,,,,,CNCF Falco,,,,,,,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,,,,,CNCF Notary,CNCF TUF-based,,,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,Octarine,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,Cluster-external to containers (North-South),1,1,,Calico,,,,Via a service mesh,,"Yes, PSP",,,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,None,2020-08-12 20:51:41,2020-08-12 21:02:34,049f2af225
